0.100000	-nan	-nan	0.000052	-0.000000	-0.000022	0.025978	-0.021649	0.531052	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
5.100000	2.056111	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	30.994892	-37.565514	5.813086	-3.506291	-2.569753	36.858887	0.531000	0.499388
5.200000	2.056111	0.000000	0.009053	0.000085	0.017449	0.000000	0.000000	0.539972	0.009350	30.994892	-37.565514	5.813086	-3.506291	-2.569753	36.858887	0.531000	0.499388
5.300000	0.000000	0.000000	0.009046	0.000085	0.017471	0.000000	0.000000	0.539965	0.009361	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.727693
5.400000	0.000000	0.000000	0.009046	0.000085	0.017471	0.000000	0.000000	0.539965	0.009361	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.727693
5.500000	0.000000	0.000000	0.008982	0.000084	0.017633	-0.003247	0.010824	-0.190987	-0.003442	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	-0.200000	1.286164
5.600000	0.000000	0.000000	0.008949	0.000083	0.017633	-0.003247	-0.010824	-0.191020	-0.003443	0.000000	0.000000	0.000000	0.000000	-2.569753	0.000000	-0.200000	1.286164
5.700000	0.000000	0.000000	0.008865	0.000082	0.017341	0.000000	0.000000	0.539785	0.009289	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.723091
5.800000	0.000000	0.000000	0.008800	0.000081	0.017124	0.000000	0.000000	0.539722	0.009173	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.723091
5.900000	0.000000	0.000000	0.008774	0.000080	0.017038	0.000000	0.000000	0.539697	0.009127	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.721110
6.000000	0.000000	0.000000	0.008774	0.000080	0.017038	0.000000	0.000000	0.539697	0.009127	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.721110
6.100000	0.000000	0.000000	0.008774	0.000080	0.017038	0.000000	0.000000	0.539697	0.009127	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.720120
6.200000	0.000000	0.000000	0.008774	0.000080	0.017038	0.000000	0.000000	0.539697	0.009127	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.720120
6.300000	0.000000	0.000000	0.008774	0.000080	0.017038	0.000000	0.000000	0.539697	0.009127	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.720937
6.400000	0.000000	0.000000	0.008735	0.000080	0.016951	0.000000	0.000000	0.539658	0.009080	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.720937
6.500000	0.000000	0.000000	0.008631	0.000078	0.016951	0.000000	0.000000	0.539555	0.009078	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.722101
6.600000	0.000000	0.000000	0.008417	0.000074	0.016713	0.000000	0.000000	0.539342	0.008948	0.000000	-0.000000	0.000000	0.000000	-2.569753	0.000000	0.531000	0.722101
6.700000	0.000000	4.000000	0.008352	0.000073	0.016496	0.000000	0.000000	0.539279	0.008832	30.044657	83.224350	-9.205251	11.441324	2.167880	53.438057	0.531000	0.444000
6.800000	0.000000	4.000000	0.008352	0.000073	0.016496	0.000000	0.000000	0.539279	0.008832	30.044657	83.224350	-9.205251	11.441324	2.167880	53.438057	0.531000	0.444000
6.900000	0.000000	0.000000	0.008345	0.000073	0.016475	0.000000	0.000000	0.539273	0.008821	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	0.531000	0.720937
7.000000	0.000000	0.000000	0.008339	0.000073	0.016453	0.000000	0.000000	0.539267	0.008809	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	0.531000	0.720937
7.100000	0.000000	0.000000	0.007481	0.000060	0.014537	-0.022731	-0.032473	-0.192497	-0.002847	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.043041
7.200000	0.000000	0.000000	0.002429	0.000005	0.007804	-0.074688	-0.097419	-0.197565	-0.001556	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.043041
7.300000	0.000000	0.000000	-0.007241	-0.000021	-0.001862	-0.116903	-0.108244	-0.207241	0.000351	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	0.950936
7.400000	0.000000	0.000000	-0.020497	0.000062	-0.009818	-0.146129	-0.054122	-0.220487	0.002025	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	0.950936
7.500000	0.000000	0.000000	-0.036524	0.000252	-0.013065	-0.178602	-0.010824	-0.236507	0.002865	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.164077
7.600000	0.000000	0.000000	-0.056890	0.000522	-0.012968	-0.227312	0.021649	-0.256873	0.003116	0.000000	-0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.164077
7.700000	0.000000	0.000000	-0.079307	0.000810	-0.012567	-0.224064	0.010824	-0.279291	0.003323	0.000000	-0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.257631
7.800000	0.000000	0.000000	-0.102270	0.001103	-0.013195	-0.230559	-0.010824	-0.302253	0.003742	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.257631
7.900000	0.000000	0.000000	-0.125064	0.001420	-0.014840	-0.224064	-0.010824	-0.325042	0.004388	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.005905
8.000000	0.000000	0.000000	-0.146292	0.001761	-0.017535	-0.201333	-0.021649	-0.346262	0.005267	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.005905
8.100000	0.000000	0.000000	-0.165045	0.002126	-0.021703	-0.178602	-0.054122	-0.364998	0.006466	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.133395
8.200000	0.000000	0.000000	-0.181653	0.002535	-0.028154	-0.159118	-0.097419	-0.381574	0.008166	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.133395
8.300000	0.000000	0.000000	-0.196479	0.003011	-0.036218	-0.142882	-0.086595	-0.396348	0.010253	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.176891
8.400000	0.000000	0.000000	-0.210022	0.003559	-0.044770	-0.129892	-0.086595	-0.409822	0.012510	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.176891
8.500000	0.000000	0.000000	-0.222892	0.004188	-0.052953	-0.129892	-0.086595	-0.422612	0.014773	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.218614
8.600000	0.000000	0.000000	-0.236800	0.004993	-0.063084	-0.149376	-0.108244	-0.436402	0.017601	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.218614
8.700000	0.000000	0.000000	-0.253231	0.006120	-0.073736	-0.175355	-0.108244	-0.452688	0.020854	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.242145
8.800000	0.000000	0.000000	-0.273048	0.007699	-0.085707	-0.214322	-0.151541	-0.472314	0.024820	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.242145
8.900000	0.000000	0.000000	-0.296383	0.009895	-0.102983	-0.246795	-0.216487	-0.495323	0.030456	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.272389
9.000000	0.000000	0.000000	-0.321765	0.012806	-0.126180	-0.263032	-0.270609	-0.520175	0.037975	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.272389
9.100000	0.000000	0.000000	-0.347846	0.016490	-0.155394	-0.266279	-0.324731	-0.545436	0.047444	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.140949
9.200000	0.000000	0.000000	-0.374265	0.021108	-0.191624	-0.263032	-0.378853	-0.570605	0.059198	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.140949
9.300000	0.000000	0.000000	-0.399413	0.026510	-0.232583	-0.250043	-0.443799	-0.594028	0.072608	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.202679
9.400000	0.000000	0.000000	-0.422126	0.032421	-0.276714	-0.220817	-0.432974	-0.614517	0.087060	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.202679
9.500000	0.000000	0.000000	-0.441957	0.038525	-0.320195	-0.185097	-0.400501	-0.631791	0.101476	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.118771
9.600000	0.000000	0.000000	-0.457916	0.044179	-0.360105	-0.155871	-0.389677	-0.645088	0.114653	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.118771
9.700000	0.000000	0.000000	-0.470443	0.049154	-0.394613	-0.123398	-0.324731	-0.655072	0.126045	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.105220
9.800000	0.000000	0.000000	-0.480322	0.053447	-0.423676	-0.094172	-0.270609	-0.662638	0.135670	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.105220
9.900000	0.000000	0.000000	-0.487832	0.056955	-0.448572	-0.074688	-0.227312	-0.668046	0.143691	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.129907
10.000000	0.000000	0.000000	-0.494307	0.060154	-0.467850	-0.071441	-0.173190	-0.672815	0.150348	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.129907
10.100000	0.000000	0.000000	-0.500960	0.063575	-0.481673	-0.074688	-0.119068	-0.678204	0.156228	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.162822
10.200000	0.000000	0.000000	-0.506750	0.066651	-0.492411	-0.055204	-0.097419	-0.682990	0.161201	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.162822
10.300000	0.000000	0.000000	-0.510377	0.068629	-0.501233	-0.025978	-0.086595	-0.685775	0.164731	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.180486
10.400000	0.000000	0.000000	-0.511617	0.069322	-0.506320	-0.006495	-0.021649	-0.686524	0.166314	0.000000	0.000000	0.000000	0.000000	2.167880	0.000000	-0.200000	1.180486
10.500000	1.614040	0.142112	-0.511577	0.069303	-0.506277	0.000000	0.000000	-0.047188	-0.188192	46.091362	-20.639235	4.275300	-0.844950	3.375034	47.376396	0.531000	0.465798
10.600000	1.614040	0.142112	-0.511548	0.069287	-0.506385	0.000000	0.000000	-0.047187	-0.188258	46.091362	-20.639235	4.275300	-0.844950	3.375034	47.376396	0.531000	0.465798
10.700000	1.632677	0.115070	-0.511543	0.069284	-0.506407	0.000000	0.000000	-0.047187	-0.188271	45.698555	-21.279732	4.340131	-0.939016	3.383993	47.074806	0.531000	0.466825
10.800000	1.632677	0.115070	-0.511543	0.069284	-0.506407	0.000000	0.000000	-0.047187	-0.188271	45.698555	-21.279732	4.340131	-0.939016	3.383993	47.074806	0.531000	0.466825
10.900000	2.328135	0.000000	-0.511543	0.069284	-0.506407	0.000000	0.000000	-0.047187	-0.188271	46.027172	-40.684437	6.759351	-3.333779	3.580431	50.844948	0.531000	0.146401
11.000000	2.328135	0.000000	-0.511531	0.069278	-0.506450	0.000000	0.000000	-0.047187	-0.188298	46.027172	-40.684437	6.759351	-3.333779	3.580431	50.844948	0.531000	0.146401
11.100000	4.000000	0.000000	-0.511520	0.069271	-0.506493	0.000000	0.000000	-0.047187	-0.188324	49.262642	-98.944229	14.106393	-10.440021	-2.324018	72.022179	0.531000	0.264271
11.200000	4.000000	0.000000	-0.511514	0.069268	-0.506472	0.000000	0.000000	-0.047175	-0.188317	49.262642	-98.944229	14.106393	-10.440021	-2.324018	72.022179	0.531000	0.264271
11.300000	1.494358	0.258811	-0.511514	0.069268	-0.506472	0.000000	0.000000	-0.047175	-0.188317	45.951935	-17.324713	3.858973	-0.439000	3.339177	46.863735	0.531000	0.467542
11.400000	1.494358	0.258811	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.951935	-17.324713	3.858973	-0.439000	3.339177	46.863735	0.531000	0.467542
